sensor_id,site_id
98,107
258,120
227,124
25,132
518,169
525,192
526,192
361,195
360,196
362,197
348,199
255,204
214,210
321,210
10,232
32,232
37,232
38,232
39,232
142,232
508,232
37,233
508,233
38,235
39,235
99,272
126,276
524,285
517,288
356,296
77,298
129,307
130,307
131,307
28,308
29,308
342,333
345,352
346,352
323,353
46,387
65,387
71,387
172,387
3,388
4,389
11,440
13,441
14,442
9,443
9,444
10,444
11,444
13,444
14,444
37,444
38,444
39,444
142,444
508,444
10,446
142,446
22,450
21,451
18,452
19,452
162,452
23,491
363,491
26,496
32,537
123,551
125,551
40,562
41,562
81,565
52,584
283,584
52,588
54,588
53,589
283,589
30,597
59,597
61,598
127,601
266,601
403,601
404,601
405,601
406,601
404,602
405,602
406,602
266,603
426,604
451,606
509,606
507,607
30,623
59,623
60,623
316,623
60,624
316,624
505,624
506,624
185,625
56,637
57,637
62,637
31,640
83,640
58,649
127,651
403,651
68,720
408,796
76,810
113,810
84,854
8,855
90,855
91,872
92,872
105,872
104,873
86,877
89,877
118,877
121,877
260,890
179,933
180,933
177,934
178,934
349,956
350,956
351,956
352,956
353,956
354,956
355,956
152,957
167,957
110,960
112,964
109,973
122,985
86,1049
121,1049
89,1050
118,1050
268,1109
149,1116
150,1116
124,1117
220,1125
307,1125
244,1138
143,1154
528,1168
333,1170
145,1176
334,1190
171,1192
148,1198
156,1198
151,1199
158,1199
164,1199
168,1199
169,1199
516,1199
153,1200
154,1200
155,1209
135,1224
166,1266
23,1277
363,1278
11,1279
13,1279
14,1279
32,1279
331,1300
332,1300
189,1386
190,1386
198,1386
193,1387
194,1387
199,1388
200,1388
201,1388
202,1388
174,1429
175,1442
187,1466
511,1466
184,1553
188,1671
236,1672
186,1675
107,1728
75,1933
144,1933
205,1954
204,1984
206,2051
207,2051
237,2138
322,2142
364,2142
250,2222
218,2223
74,2224
241,2224
238,2225
233,2226
228,2231
229,2231
230,2231
206,2232
207,2232
231,2233
232,2233
234,2233
235,2233
191,2310
192,2310
223,2311
189,2322
190,2322
198,2322
23,2327
363,2327
78,2351
275,2351
78,2352
275,2352
94,2353
277,2353
248,2354
249,2354
276,2354
264,2355
239,2412
240,2412
313,2515
245,2517
88,2557
272,2557
270,2558
271,2558
267,2559
203,2617
280,2629
213,2633
251,2635
417,2756
288,2795
284,2796
285,2796
286,2796
287,2796
289,2796
61,2799
305,2823
306,2823
290,2824
384,2824
385,2824
386,2824
387,2824
388,2824
389,2824
390,2824
391,2824
392,2824
394,2824
395,2824
396,2824
397,2824
398,2824
399,2824
284,2825
285,2825
286,2825
287,2825
289,2825
193,2826
194,2826
231,2827
232,2827
234,2827
235,2827
199,2828
200,2828
201,2828
202,2828
232,2829
235,2830
234,2831
231,2832
286,2833
287,2834
284,2835
289,2836
285,2837
314,2882
82,2921
95,2921
219,2921
311,2925
82,2936
95,2936
219,2936
95,2937
82,2938
219,2939
200,2964
201,2965
199,2966
202,2967
193,2968
194,2969
189,2970
198,2971
190,2972
93,3007
450,3042
328,3045
329,3045
330,3046
141,3049
325,3049
324,3050
195,3051
326,3051
436,3087
327,3096
247,3098
343,3103
344,3103
347,3103
357,3104
359,3106
69,3112
256,3113
335,3114
336,3115
337,3116
18,3120
339,3120
341,3120
358,3120
196,3178
365,3182
413,3184
262,3199
400,3219
242,3229
429,3229
431,3229
432,3229
242,3230
429,3230
431,3230
432,3230
242,3231
427,3231
430,3231
432,3231
433,3231
163,3232
428,3232
431,3232
431,3233
432,3234
242,3235
366,3241
367,3241
368,3241
366,3242
367,3242
368,3242
368,3243
366,3244
367,3245
364,3250
418,3252
420,3301
418,3302
423,3302
424,3302
425,3302
419,3303
278,3304
402,3364
401,3365
407,3412
411,3412
410,3415
409,3416
407,3420
411,3421
412,3422
94,3424
519,3428
520,3428
521,3428
522,3428
415,3440
279,3446
434,3446
435,3446
441,3450
440,3451
439,3452
463,3456
471,3457
416,3459
447,3462
448,3462
449,3462
447,3463
448,3464
449,3465
444,3466
442,3467
443,3468
446,3476
460,3479
461,3479
408,3485
458,3487
459,3487
70,3493
452,3493
453,3579
454,3579
455,3580
456,3580
468,3580
462,3649
464,3650
7,3651
312,3651
497,3657
499,3657
475,3659
476,3659
477,3659
478,3660
479,3660
472,3661
473,3661
474,3662
473,3663
475,3663
476,3663
496,3665
498,3665
254,3668
489,3668
490,3668
491,3668
481,3669
488,3670
494,3670
482,3672
487,3672
514,3672
515,3672
483,3673
480,3674
492,3675
500,3676
501,3676
484,3681
495,3681
485,3682
486,3682
502,3682
512,3682
493,3683
503,3683
46,3685
65,3685
71,3685
527,3691
523,3719
534,3719
63,70
246,2518
269,2518
273,2518
291,2533
292,2531
293,800
294,805
295,807
296,808
297,809
298,811
299,812
300,813
301,835
302,839
303,840
304,844
315,2812
317,1170
338,1174
369,1177
370,1181
371,1184
372,1185
373,1204
374,1210
375,1222
376,1229
377,1137
378,1140
379,1141
380,1143
381,1144
382,1145
383,1146
457,1161
465,1175
466,1177
469,1180
470,840
510,1270
533,1273
393,1337
