opening_datetime_utc,closing_datetime_utc,site_id
2023-04-03 08:30:00,2023-04-03 18:00:00,413
,,200
,,1719
,,663
,,1654
,,1655
,,1656
,,1657
,,1658
,,1659
2023-04-03 08:30:00,2023-04-03 22:30:00,744
2023-04-03 09:00:00,2023-04-03 22:30:00,1310
,,2804
2023-04-03 09:00:00,2023-04-03 20:00:00,1728
2023-04-03 10:30:00,2023-04-03 18:00:00,1503
2023-04-03 09:00:00,2023-04-03 16:00:00,625
,,2694
2023-04-03 08:00:00,2023-04-03 21:00:00,994
2023-04-03 08:00:00,2023-04-03 21:00:00,993
2023-04-03 09:00:00,2023-04-03 17:00:00,600
2023-04-03 09:00:00,2023-04-03 17:00:00,412
2023-04-03 08:30:00,2023-04-03 22:00:00,685
2023-04-03 09:00:00,2023-04-03 17:00:00,1674
2023-04-03 09:00:00,2023-04-03 17:00:00,854
,,1717
,,1709
2023-04-03 09:00:00,2023-04-03 22:00:00,664
2023-04-03 08:30:00,2023-04-03 22:00:00,684
2023-04-03 08:30:00,2023-04-03 22:00:00,680
2023-04-03 07:30:00,2023-04-03 23:55:00,467
2023-04-03 10:00:00,2023-04-03 17:00:00,2009
2023-04-03 09:00:00,2023-04-03 21:00:00,830
2023-04-03 09:00:00,2023-04-03 21:00:00,831
2023-04-03 09:00:00,2023-04-03 23:00:00,845
2023-04-03 09:00:00,2023-04-03 17:00:00,3254
,,1721
2023-04-03 08:00:00,2023-04-03 20:00:00,473
,,2331
2023-04-03 08:30:00,2023-04-03 14:00:00,1084
2023-04-03 08:30:00,2023-04-03 22:00:00,468
2023-04-03 08:30:00,2023-04-03 22:00:00,477
2023-04-03 08:30:00,2023-04-03 22:00:00,478
2023-04-03 08:30:00,2023-04-03 22:00:00,479
,,183
2023-04-03 08:00:00,2023-04-03 22:00:00,1223
2023-04-03 09:00:00,2023-04-03 22:00:00,113
,,1710
2023-04-03 08:00:00,2023-04-03 22:00:00,116
2023-04-03 09:00:00,2023-04-03 22:00:00,1055
2023-04-03 08:00:00,2023-04-03 20:30:00,401
2023-04-03 08:00:00,2023-04-03 18:00:00,414
,,1190
,,1192
,,1193
2023-04-03 09:00:00,2023-04-03 22:00:00,92
2023-04-03 08:00:00,2023-04-03 19:00:00,459
,,593
,,594
,,1191
2023-04-03 08:00:00,2023-04-03 20:00:00,860
2023-04-03 09:00:00,2023-04-03 22:00:00,256
,,1
2023-04-03 09:00:00,2023-04-03 20:00:00,3
2023-04-03 14:00:00,2023-04-03 18:00:00,4
2023-04-03 12:00:00,2023-04-03 22:00:00,60
2023-04-03 10:00:00,2023-04-03 22:00:00,61
2023-04-03 08:00:00,2023-04-03 23:00:00,62
2023-04-03 10:00:00,2023-04-03 20:00:00,63
,,64
,,65
,,66
,,67
,,68
,,69
,,70
,,71
2023-04-03 09:00:00,2023-04-03 19:30:00,72
2023-04-03 08:00:00,2023-04-03 23:00:00,73
2023-04-03 10:00:00,2023-04-03 22:00:00,74
2023-04-03 08:45:00,2023-04-03 21:00:00,75
2023-04-03 09:30:00,2023-04-03 18:00:00,77
2023-04-03 09:30:00,2023-04-03 19:00:00,78
2023-04-03 09:00:00,2023-04-03 19:00:00,79
,,80
2023-04-03 08:45:00,2023-04-03 19:00:00,81
2023-04-03 08:45:00,2023-04-03 19:00:00,82
2023-04-03 08:45:00,2023-04-03 19:00:00,83
2023-04-03 08:30:00,2023-04-03 20:00:00,84
2023-04-03 08:00:00,2023-04-03 18:00:00,86
2023-04-03 08:00:00,2023-04-03 20:00:00,87
2023-04-03 08:00:00,2023-04-03 21:00:00,88
2023-04-03 08:00:00,2023-04-03 21:00:00,89
2023-04-03 08:00:00,2023-04-03 21:00:00,90
2023-04-03 08:30:00,2023-04-03 19:00:00,91
2023-04-03 09:00:00,2023-04-03 19:00:00,93
,,94
,,96
2023-04-03 09:00:00,2023-04-03 19:00:00,97
2023-04-03 08:30:00,2023-04-03 22:00:00,98
2023-04-03 08:30:00,2023-04-03 22:00:00,99
2023-04-03 09:00:00,2023-04-03 22:00:00,100
2023-04-03 09:00:00,2023-04-03 20:00:00,101
2023-04-03 09:00:00,2023-04-03 18:00:00,102
2023-04-03 09:00:00,2023-04-03 18:00:00,103
2023-04-03 08:30:00,2023-04-03 22:30:00,104
2023-04-03 08:30:00,2023-04-03 20:00:00,105
,,106
2023-04-03 09:00:00,2023-04-03 20:00:00,107
2023-04-03 09:00:00,2023-04-03 18:00:00,108
2023-04-03 08:30:00,2023-04-03 20:00:00,109
2023-04-03 09:00:00,2023-04-03 22:00:00,110
2023-04-03 09:00:00,2023-04-03 19:00:00,111
2023-04-03 09:00:00,2023-04-03 19:00:00,112
2023-04-03 08:15:00,2023-04-03 21:30:00,114
2023-04-03 09:00:00,2023-04-03 19:00:00,115
2023-04-03 10:00:00,2023-04-03 22:00:00,118
2023-04-03 10:00:00,2023-04-03 22:00:00,119
2023-04-03 08:00:00,2023-04-03 22:00:00,120
2023-04-03 10:00:00,2023-04-03 17:00:00,122
2023-04-03 13:30:00,2023-04-03 17:30:00,123
2023-04-03 08:00:00,2023-04-03 20:00:00,124
2023-04-03 08:00:00,2023-04-03 22:00:00,125
2023-04-03 14:00:00,2023-04-03 17:00:00,126
2023-04-03 14:00:00,2023-04-03 17:00:00,127
2023-04-03 08:30:00,2023-04-03 20:00:00,128
2023-04-03 14:00:00,2023-04-03 17:00:00,129
2023-04-03 10:00:00,2023-04-03 13:30:00,130
2023-04-03 08:00:00,2023-04-03 22:00:00,131
2023-04-03 08:00:00,2023-04-03 22:00:00,132
2023-04-03 09:00:00,2023-04-03 19:00:00,133
2023-04-03 09:00:00,2023-04-03 18:00:00,134
2023-04-03 19:00:00,2023-04-03 22:00:00,135
2023-04-03 09:00:00,2023-04-03 23:00:00,150
2023-04-03 08:30:00,2023-04-03 20:00:00,151
2023-04-03 08:30:00,2023-04-03 19:00:00,152
2023-04-03 09:30:00,2023-04-03 18:00:00,153
2023-04-03 09:30:00,2023-04-03 18:00:00,154
2023-04-03 09:00:00,2023-04-03 18:00:00,155
2023-04-03 09:00:00,2023-04-03 22:00:00,156
2023-04-03 08:00:00,2023-04-03 19:30:00,157
2023-04-03 08:00:00,2023-04-03 21:00:00,158
2023-04-03 08:30:00,2023-04-03 19:00:00,159
,,160
,,161
,,162
2023-04-03 10:00:00,2023-04-03 18:00:00,163
2023-04-03 11:30:00,2023-04-03 13:30:00,164
2023-04-03 18:30:00,2023-04-03 20:30:00,165
2023-04-03 11:30:00,2023-04-03 13:30:00,165
,,166
2023-04-03 09:00:00,2023-04-03 20:00:00,167
2023-04-03 08:30:00,2023-04-03 21:00:00,168
2023-04-03 08:00:00,2023-04-03 19:00:00,169
2023-04-03 08:00:00,2023-04-03 19:00:00,170
2023-04-03 08:00:00,2023-04-03 19:00:00,171
2023-04-03 09:00:00,2023-04-03 22:00:00,172
2023-04-03 09:00:00,2023-04-03 22:00:00,173
,,174
,,175
2023-04-03 14:00:00,2023-04-03 20:00:00,179
2023-04-03 11:30:00,2023-04-03 13:30:00,180
2023-04-03 11:30:00,2023-04-03 13:30:00,181
2023-04-03 08:45:00,2023-04-03 19:00:00,182
2023-04-03 09:00:00,2023-04-03 22:00:00,184
2023-04-03 09:00:00,2023-04-03 21:00:00,185
,,187
2023-04-03 08:00:00,2023-04-03 22:00:00,189
2023-04-03 08:00:00,2023-04-03 18:30:00,190
,,191
2023-04-03 08:00:00,2023-04-03 19:00:00,192
2023-04-03 08:00:00,2023-04-03 19:00:00,193
2023-04-03 09:00:00,2023-04-03 19:00:00,194
2023-04-03 08:30:00,2023-04-03 22:00:00,196
2023-04-03 08:30:00,2023-04-03 18:00:00,197
2023-04-03 07:00:00,2023-04-03 23:55:00,198
,,199
2023-04-03 08:00:00,2023-04-03 20:00:00,201
2023-04-03 08:00:00,2023-04-03 20:00:00,202
2023-04-03 09:15:00,2023-04-03 17:00:00,203
,,204
2023-04-03 08:00:00,2023-04-03 22:00:00,205
2023-04-03 15:00:00,2023-04-03 17:45:00,206
2023-04-03 11:30:00,2023-04-03 14:00:00,206
2023-04-03 08:00:00,2023-04-03 20:00:00,207
2023-04-03 08:00:00,2023-04-03 20:00:00,208
2023-04-03 08:00:00,2023-04-03 20:00:00,209
2023-04-03 08:30:00,2023-04-03 22:00:00,210
2023-04-03 08:00:00,2023-04-03 19:00:00,211
2023-04-03 08:00:00,2023-04-03 23:00:00,212
2023-04-03 08:00:00,2023-04-03 20:00:00,213
2023-04-03 08:00:00,2023-04-03 18:30:00,215
